,MPO,MPO,MPO,MPO,MPO,MPO,MPO,MPO,ES,ES,ES,ES,ES,ES,ES,ES,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,10Y,2Y,5Y,Overnight Rate,Overnight Rate,Overnight Rate,Overnight Rate,Overnight Rate,Overnight Rate,Overnight Rate
,Australia,Canada,Euro Area,Japan,Sweden,Switzerland,United Kingdom,United States,Australia,Canada,Euro Area,Japan,Sweden,Switzerland,United Kingdom,United States,Australia,Australia,Australia,Brazil,Brazil,Brazil,Canada,Canada,Canada,Germany,Germany,Germany,Japan,Japan,Japan,New Zealand,New Zealand,New Zealand,Sweden,Sweden,Sweden,Switzerland,Switzerland,Switzerland,United Kingdom,United Kingdom,United Kingdom,United States,United States,United States,Australia,Canada,Euro Area,Japan,Sweden,Switzerland,United Kingdom
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03,-0.4291666666666666,-0.26483364130422954,0.09907078533611337,0.11717325227963524,-0.10171090412288696,0.14855514855514854,-0.08482556023326454,0.18058916569231104,-0.46441820884623475,0.6999445246777685,1.0420574348822467,-1.1360217955472716,0.004532836684555487,-0.32463152779600174,-0.6169855697416036,-0.01146878333275966,,,,,,,,,,5.468,4.332,4.924,,,,,,,5.855,5.18,5.6,,,,5.446,,6.113,6.594,6.396,6.511,,,,,,,
2000-01-04,-0.4291666666666666,-0.26483364130422954,0.09907078533611337,0.11717325227963524,-0.09622525132065264,0.14855514855514854,-0.08482556023326454,0.17278525298461878,-0.46441820884623475,0.6999445246777685,1.0420574348822467,-1.1360217955472716,0.040034140701940855,-0.32463152779600174,-0.6169855697416036,-0.02463464298696266,7.13,6.44,6.89,,,,6.393,6.01,6.318,5.505,4.327,4.929,,,,,,,5.89,5.195,5.65,3.543,2.52,2.999,5.642,6.36,6.25,6.499,6.294,6.396,,,,,,,
2000-01-05,-0.4291666666666666,-0.26483364130422954,0.09907078533611337,0.11717325227963524,-0.09093551468992671,0.14855514855514854,-0.08482556023326454,0.1648312650325478,-0.46441820884623475,0.6999445246777685,1.0420574348822467,-1.1360217955472716,0.0742675410044196,-0.32463152779600174,-0.6169855697416036,-0.03805369224990033,7.01,6.37,6.8,,,,6.474,6.102,6.417,5.487,4.323,4.956,,,,7.4,6.72,,,5.19,5.645,3.596,2.505,3.005,5.739,6.557,6.307,6.599,6.362,6.489,,,,,,,
2000-01-06,-0.4291666666666666,-0.26483364130422954,0.09907078533611337,0.11717325227963524,-0.08583138285326133,0.14855514855514854,-0.08482556023326454,0.15672283071247545,-0.46441820884623475,0.6999445246777685,1.0420574348822467,-1.1360217955472716,0.10729976936646049,-0.32463152779600174,-0.6169855697416036,-0.051733305576196015,7.12,6.46,6.9,,,,6.405,6.065,6.352,5.548,4.345,4.956,,,,7.49,6.82,,,,,3.63,2.528,3.055,5.757,6.568,6.33,6.54,6.311,6.419,,,,,,,
2000-01-07,-0.4291666666666666,-0.26483364130422954,0.09907078533611337,0.11717325227963524,-0.08583138285326133,0.14855514855514854,-0.07562904902859925,0.14215972391635895,-0.46441820884623475,0.6999445246777685,1.0420574348822467,-1.1360217955472716,0.10729976936646049,-0.32463152779600174,-0.6072432609441741,-0.10245671361080495,7.1,6.47,6.91,,,,6.407,6.06,6.347,5.497,4.246,4.837,,,,7.49,6.82,,5.88,5.165,5.625,3.597,2.535,3.013,5.701,6.566,6.299,6.513,6.295,6.413,,,,,,,
2000-01-10,-0.4291666666666666,-0.26483364130422954,0.09969497729497773,0.11717325227963524,-0.08583138285326133,0.14855514855514854,-0.07562904902859925,0.1337495251312252,-0.46441820884623475,0.6999445246777685,1.0398542388304495,-1.1360217955472716,0.10729976936646049,-0.32463152779600174,-0.6072432609441741,-0.11292672010531628,7.11,6.51,6.95,,,,6.422,6.067,6.353,5.436,4.229,4.818,,,,7.47,6.81,,5.815,5.1,5.555,3.564,2.522,3.022,5.617,6.519,6.22,6.554,6.363,6.467,,,,,,,
2000-01-11,-0.4291666666666666,-0.26483364130422954,0.10030918218250026,0.11717325227963524,-0.08885218135659338,0.14855514855514854,-0.07562904902859925,0.1337495251312252,-0.46441820884623475,0.6999445246777685,1.037686293915481,-1.1360217955472716,0.07856237704297486,-0.32463152779600174,-0.6072432609441741,-0.11292672010531628,7.17,6.56,7.0,,,,6.484,6.137,6.417,5.473,4.318,4.936,,,,7.52,6.92,,5.925,5.18,5.655,3.63,2.563,3.062,5.701,6.477,6.296,6.659,6.432,6.56,,,,,,,
2000-01-12,-0.4291666666666666,-0.26483364130422954,0.10091363778609386,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07562904902859925,0.1337495251312252,-0.46441820884623475,0.6999445246777685,1.0355527608245596,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.6072432609441741,-0.11292672010531628,7.21,6.6,7.04,,,,6.51,6.156,6.438,5.563,4.308,4.963,,,,7.55,6.88,,5.955,,5.675,3.597,2.587,3.058,5.746,6.523,6.327,6.701,6.484,6.607,,,,,,,
2000-01-13,-0.4291666666666666,-0.26483364130422954,0.10091363778609386,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07562904902859925,0.13040412963649284,-0.46441820884623475,0.6999445246777685,1.034946885273838,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.6072432609441741,-0.10761513832758438,7.2,6.58,7.02,,,,6.444,6.101,6.377,5.554,4.275,4.952,,,,7.57,6.86,,5.915,5.155,5.635,3.571,2.554,3.046,5.658,6.552,6.269,6.632,6.398,6.53,,,,,,,
2000-01-14,-0.4291666666666666,-0.26483364130422954,0.09905428022171595,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07562904902859925,0.13148287828805702,-0.46441820884623475,0.6999445246777685,1.039582999067805,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.6072432609441741,-0.10912361324163077,7.19,6.58,7.01,,,,6.48,6.12,6.414,5.564,4.298,4.991,,,,7.54,6.88,,5.86,5.11,5.58,3.511,2.55,3.014,5.682,6.514,6.285,6.688,6.451,6.585,,,,,,,
2000-01-17,-0.4291666666666666,-0.26483364130422954,0.10086116957834268,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07562904902859925,0.13021861984297953,-0.46441820884623475,0.6999445246777685,1.0516078814248238,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.6072432609441741,-0.1107877707868811,7.23,6.62,7.05,,,,6.481,6.138,6.419,5.571,4.292,4.991,,,,7.56,6.93,,5.955,5.155,5.66,3.544,2.565,3.054,5.756,6.514,6.342,6.683,,,,,,,,,
2000-01-18,-0.4291666666666666,-0.26483364130422954,0.10269743924971132,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07659710689078358,0.13021861984297953,-0.46441820884623475,0.6999445246777685,1.0638282903242333,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.5917466652445558,-0.1107877707868811,7.19,6.57,7.0,,,,6.544,6.163,6.475,5.587,4.304,5.044,,,,7.56,7.03,,6.025,5.215,5.735,3.598,2.578,3.105,5.862,6.566,6.426,6.753,6.469,6.625,,,,,,,
2000-01-19,-0.4291666666666666,-0.2961623706721746,0.10269743924971132,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07752793175826851,0.13021861984297953,-0.46441820884623475,0.7318496652432994,1.0638282903242333,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.5768460924564612,-0.1107877707868811,7.26,6.64,7.08,,,,6.568,6.199,6.505,5.671,4.277,5.026,,,,7.59,6.99,,6.005,5.19,5.705,3.605,2.614,3.111,5.793,6.62,6.376,6.73,6.452,6.609,,,,,,,
2000-01-20,-0.4291666666666666,-0.2961623706721746,0.10269743924971132,0.11717325227963524,-0.09198282707822841,0.14855514855514854,-0.07752793175826851,0.13502631215067185,-0.46441820884623475,0.7318496652432994,1.0638282903242333,-1.1360217955472716,0.04877998863499884,-0.32463152779600174,-0.5768460924564612,-0.09830457065867396,7.22,6.6,7.04,,,,6.602,6.215,6.537,5.598,4.254,5.01,,,,7.53,7.0,,6.01,,5.72,3.62,2.638,3.152,5.838,6.583,6.424,6.79,6.505,6.665,,,,,,,
2000-01-21,-0.4291666666666666,-0.2961623706721746,0.10670794377189106,0.11717325227963524,-0.07516769424634376,0.14855514855514854,-0.07752793175826851,0.13502631215067185,-0.46441820884623475,0.7318496652432994,1.0733009881634286,-1.1360217955472716,0.039049896813490186,-0.32463152779600174,-0.5768460924564612,-0.09830457065867396,7.27,6.63,7.07,,,,6.586,6.178,6.51,5.582,4.305,5.068,,,,7.52,7.0,,6.035,5.23,5.745,3.62,2.669,3.171,5.793,6.599,6.389,6.772,6.453,6.642,,,,,,,
2000-01-24,-0.4291666666666666,-0.2961623706721746,0.11584772871812762,0.11717325227963524,-0.07516769424634376,0.14855514855514854,-0.07752793175826851,0.13502631215067185,-0.46441820884623475,0.7318496652432994,1.082387584847247,-1.1360217955472716,0.039049896813490186,-0.32463152779600174,-0.5768460924564612,-0.09830457065867396,7.27,6.65,7.09,,,,6.492,6.082,6.408,5.583,4.283,5.047,,,,7.51,7.0,,6.02,,,3.625,2.679,3.191,5.758,6.587,6.377,6.689,6.419,6.564,,,,,,,
2000-01-25,-0.4291666666666666,-0.2961623706721746,0.12112562353155414,0.11717325227963524,-0.06774040283580417,0.14855514855514854,-0.07752793175826851,0.13502631215067185,-0.46441820884623475,0.7318496652432994,1.0821492332314449,-1.1360217955472716,0.0695341945897868,-0.32463152779600174,-0.5768460924564612,-0.09830457065867396,7.21,6.63,7.05,,,,6.502,6.084,6.42,5.522,4.255,4.999,,,,7.47,6.97,,5.955,5.21,5.7,3.625,2.686,3.179,5.702,6.568,6.328,6.694,6.436,6.588,,,,,,,
2000-01-26,-0.4291666666666666,-0.2961623706721746,0.1276789617922095,0.11717325227963524,-0.06774040283580417,0.14855514855514854,-0.08235444876911878,0.13502631215067185,-0.46441820884623475,0.7318496652432994,1.0931662115671321,-1.1360217955472716,0.0695341945897868,-0.32463152779600174,-0.556057781594979,-0.09830457065867396,,,,,,,6.435,6.067,6.376,5.508,4.313,5.024,,,,7.51,6.95,,5.945,5.22,5.695,3.624,2.682,3.163,5.665,6.525,6.299,6.666,6.454,6.588,,,,,,,
2000-01-27,-0.4291666666666666,-0.2507562154620978,0.12708616639706366,0.11717325227963524,-0.06774040283580417,0.14855514855514854,-0.08235444876911878,0.13502631215067185,-0.46441820884623475,0.8540293536745215,1.0941919525306192,-1.1360217955472716,0.0695341945897868,-0.32463152779600174,-0.556057781594979,-0.09830457065867396,7.16,6.6,7.01,,,,6.528,6.165,6.484,5.634,4.399,5.105,,,,7.48,6.98,,5.985,5.3,5.75,3.666,2.707,3.207,5.789,6.488,6.384,6.699,6.527,6.675,,,,,,,
2000-01-28,-0.4291666666666666,-0.2118366538534606,0.1264835727309237,0.11717325227963524,-0.06774040283580417,0.14855514855514854,-0.08235444876911878,0.13502631215067185,-0.46441820884623475,0.9587548009012835,1.095234647890197,-1.1360217955472716,0.0695341945897868,-0.32463152779600174,-0.556057781594979,-0.09830457065867396,7.17,6.55,6.97,,,,6.529,6.213,6.518,5.593,4.376,5.059,,,,7.47,6.97,,,,,3.727,2.732,3.269,5.837,6.565,6.412,6.658,6.561,6.668,,,,,,,
2000-01-31,-0.4291666666666666,-0.17810636712597497,0.12829517826125714,0.11717325227963524,-0.06774040283580417,0.14855514855514854,-0.08235444876911878,0.13502631215067185,-0.46441820884623475,1.0495168551644771,1.0982293212043062,-1.1360217955472716,0.0695341945897868,-0.32463152779600174,-0.556057781594979,-0.09830457065867396,7.16,6.59,7.01,,,,6.541,6.262,6.549,5.539,4.383,5.052,,,,7.5,7.03,,5.97,5.28,5.725,3.659,2.774,3.236,5.718,6.588,6.332,6.662,6.612,6.685,,,,,,,
2000-02-01,-0.4291666666666666,-0.14859236623942507,0.12829517826125714,0.11717325227963524,-0.060352879431528936,0.14855514855514854,-0.08235444876911878,0.13502631215067185,-0.46441820884623475,1.1289336526447715,1.0982293212043062,-1.1360217955472716,0.09659316299707134,-0.32463152779600174,-0.556057781594979,-0.09830457065867396,7.17,6.57,7.0,,,,6.484,6.222,6.47,5.456,4.314,4.975,,,,7.49,7.08,,5.91,5.245,5.68,3.579,2.778,3.193,5.585,6.551,6.228,6.626,6.578,6.677,5.48,4.9714,1.94181,5.8408,0.0345,2.0,5.73
2000-02-02,-0.4291666666666666,-0.1225506007512928,0.12829517826125714,0.11717325227963524,-0.052686581559167854,0.14855514855514854,-0.08235444876911878,0.13502631215067185,-0.46441820884623475,1.1990072974803254,1.0982293212043062,-1.1360217955472716,0.12467322455180058,-0.32463152779600174,-0.556057781594979,-0.09830457065867396,7.18,6.75,7.08,,,,6.419,6.214,6.468,5.471,4.338,5.002,,,,7.49,7.13,,5.875,5.21,5.65,3.586,2.774,3.2,5.595,6.465,6.233,6.575,6.596,6.662,,,,,,,
2000-02-03,-0.4291666666666666,-0.1225506007512928,0.12829517826125714,0.11717325227963524,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.1337403472730464,-0.46441820884623475,1.1990072974803254,1.0982293212043062,-1.1360217955472716,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10062687179274005,7.1,6.76,7.08,,,,6.319,6.186,6.397,5.435,4.31,4.952,,,,7.45,7.11,,5.87,5.22,5.66,3.553,2.859,3.209,5.512,6.434,6.218,6.448,6.527,6.513,,,,,,,
2000-02-04,-0.4291666666666666,-0.1225506007512928,0.1377766503474862,0.10924968671679197,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.1337403472730464,-0.46441820884623475,1.1990072974803254,1.0937699442048803,-1.1203880938298398,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10062687179274005,7.01,6.67,6.96,,,,6.427,6.253,6.477,5.479,4.397,5.106,,,,7.38,7.11,,5.9,5.275,5.71,3.546,2.885,3.229,5.622,6.444,6.275,6.558,6.63,6.655,,,,,,,
2000-02-07,-0.4291666666666666,-0.1225506007512928,0.147418825350431,0.10164953199324842,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.1337403472730464,-0.46441820884623475,1.1990072974803254,1.0892349845444473,-1.1053925023865887,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10062687179274005,7.11,6.72,7.03,,,,6.47,6.236,6.526,5.527,4.415,5.116,,,,7.46,7.18,,5.935,5.33,5.76,3.58,2.933,3.228,5.651,6.498,6.306,6.645,6.682,6.735,,,,,,,
2000-02-08,-0.4291666666666666,-0.1225506007512928,0.1409959885975318,0.10164953199324842,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.1337403472730464,-0.46441820884623475,1.1990072974803254,1.0870149808654321,-1.1053925023865887,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10062687179274005,7.15,6.71,7.05,,,,6.426,6.208,6.495,5.485,4.38,5.065,,,,7.5,7.22,,5.905,5.315,5.745,3.557,2.898,3.216,5.606,6.522,6.267,6.618,6.665,6.727,,,,,,,
2000-02-09,-0.4291666666666666,-0.1225506007512928,0.13227928157574,0.10164953199324842,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.1337403472730464,-0.46441820884623475,1.1990072974803254,1.086366173918299,-1.1053925023865887,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10062687179274005,7.08,6.6,6.96,,,,6.453,6.194,6.496,5.483,4.434,5.135,,,,7.46,7.2,,5.915,5.34,5.77,3.56,2.894,3.223,5.647,6.484,6.294,6.669,6.665,6.728,,,,,,,
2000-02-10,-0.4291666666666666,-0.1225506007512928,0.13957105231880101,0.10164953199324842,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.13365268577704548,-0.46441820884623475,1.1990072974803254,1.072754734000899,-1.1053925023865887,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10292805570614244,7.04,6.54,6.91,,,,6.518,6.189,6.536,5.534,4.441,5.173,,,,7.44,7.21,,5.99,5.41,5.845,3.599,2.908,3.243,5.676,6.478,6.301,6.673,6.666,6.768,,,,,,,
2000-02-11,-0.3977411477411477,-0.1225506007512928,0.13957105231880101,0.10164953199324842,-0.044725426076331336,0.14855514855514854,-0.08235444876911878,0.13356332211607366,-0.432504898097727,1.1990072974803254,1.072754734000899,-1.1053925023865887,0.15383328847401942,-0.32463152779600174,-0.556057781594979,-0.10527392280232936,7.11,6.61,6.99,,,,6.46,6.154,6.47,5.591,4.453,5.168,,,,7.47,7.18,,5.995,5.405,5.85,3.607,2.916,3.242,5.644,6.488,6.23,6.595,6.614,6.706,,,,,,,
2000-02-14,-0.3977411477411477,-0.1225506007512928,0.13957105231880101,0.10164953199324842,-0.03325671620273725,0.14855514855514854,-0.09194047749561658,0.13356332211607366,-0.432504898097727,1.1990072974803254,1.072754734000899,-1.1053925023865887,0.17352401375365512,-0.32463152779600174,-0.5534700399646159,-0.10527392280232936,7.11,6.59,6.98,,,,6.421,6.125,6.446,5.528,4.407,5.114,,,,7.43,7.16,,5.96,5.36,5.81,3.685,2.904,3.22,5.575,6.419,6.147,6.56,6.632,6.674,,,,,,,
2000-02-15,-0.3977411477411477,-0.1225506007512928,0.13957105231880101,0.10164953199324842,-0.03325671620273725,0.14855514855514854,-0.10117792335933265,0.12506884488191752,-0.432504898097727,1.1990072974803254,1.072754734000899,-1.1053925023865887,0.17352401375365512,-0.32463152779600174,-0.5509763980299023,-0.14512618019955423,7.04,6.55,6.94,,,,6.446,6.166,6.479,5.562,4.413,5.144,,,,7.38,7.18,,5.985,5.395,5.835,3.715,2.9,3.271,5.588,6.344,6.171,6.552,6.632,6.706,,,,,,,
2000-02-16,-0.3977411477411477,-0.08796445626510986,0.13957105231880101,0.10164953199324842,-0.03328029394154402,0.14855514855514854,-0.10532355568029694,0.11640616017777809,-0.432504898097727,1.1734466840735094,1.072754734000899,-1.1053925023865887,0.2154525239992475,-0.32463152779600174,-0.5234279706152597,-0.1857675912086053,7.07,6.62,7.0,,,,6.447,6.164,6.472,5.61,4.432,5.153,,,,7.39,7.13,,5.99,5.42,5.845,3.768,3.079,3.364,5.675,6.071,6.292,6.543,6.598,6.699,,,,,,,
2000-02-17,-0.3977411477411477,-0.08796445626510986,0.13957105231880101,0.10164953199324842,-0.02227500537660923,0.14855514855514854,-0.10532355568029694,0.1065051700787682,-0.432504898097727,1.1734466840735094,1.072754734000899,-1.1053925023865887,0.25134158378782645,-0.32463152779600174,-0.5234279706152597,-0.21478590553882773,7.04,6.62,6.99,,,,6.446,6.229,6.507,5.557,4.486,5.169,,,,7.36,7.11,,5.96,5.49,5.85,3.774,3.044,3.352,5.644,6.503,6.253,6.56,6.667,6.739,,,,,,,
2000-02-18,-0.3977411477411477,-0.08796445626510986,0.13957105231880101,0.10164953199324842,-0.011677320091857206,0.14855514855514854,-0.10532355568029694,0.09660417997975829,-0.432504898097727,1.1734466840735094,1.072754734000899,-1.1053925023865887,0.28590141913979134,-0.32463152779600174,-0.5234279706152597,-0.24380421986905015,7.05,6.66,7.01,,,,6.339,6.157,6.411,5.568,4.516,5.134,,,,7.37,7.09,,,,,3.768,3.071,3.372,5.595,6.414,6.218,6.483,6.633,6.685,,,,,,,
2000-02-21,-0.3977411477411477,-0.08796445626510986,0.13957105231880101,0.10164953199324842,-0.0014650051810961653,0.14855514855514854,-0.10532355568029694,0.08670318988074839,-0.432504898097727,1.1734466840735094,1.072754734000899,-1.1053925023865887,0.31920453320623027,-0.32463152779600174,-0.5234279706152597,-0.2728225341992726,6.8,6.53,6.83,,,,6.286,6.14,6.37,5.529,4.511,5.113,,,,7.24,7.06,,5.905,5.515,5.8,3.743,3.071,3.35,5.522,6.382,6.15,,,,,,,,,,
2000-02-22,-0.3977411477411477,-0.08796445626510986,0.13957105231880101,0.10164953199324842,0.008382584197137695,0.14855514855514854,-0.10532355568029694,0.07680219978173847,-0.432504898097727,1.1734466840735094,1.072754734000899,-1.1053925023865887,0.351318250341725,-0.32463152779600174,-0.5234279706152597,-0.301840848529495,6.78,6.48,6.78,,,,6.122,6.05,6.243,5.426,4.434,5.022,,,,7.21,7.04,,5.815,5.41,5.705,3.727,3.224,3.359,5.427,6.394,6.072,6.363,6.564,6.558,,,,,,,
2000-02-23,-0.3977411477411477,-0.08796445626510986,0.1507755341115181,0.10164953199324842,0.008382584197137695,0.14855514855514854,-0.10417752838766016,0.07531705126688698,-0.432504898097727,1.1734466840735094,1.098358795360635,-1.1053925023865887,0.351318250341725,-0.32463152779600174,-0.4855241087099899,-0.3192550730498133,6.75,6.45,6.76,,,,6.192,6.079,6.289,5.45,4.442,5.063,,,,7.19,7.03,,5.83,5.415,5.72,3.798,3.22,3.484,5.448,6.355,6.084,6.422,6.634,6.63,,,,,,,
2000-02-24,-0.3977411477411477,-0.08796445626510986,0.15749822318714837,0.10164953199324842,0.0037034398121109577,0.10869963369963372,-0.10417752838766016,0.07683293364396264,-0.432504898097727,1.1734466840735094,1.099691007319033,-1.1053925023865887,0.44439958322509804,-0.2630259936675256,-0.4855241087099899,-0.3061157496644439,6.72,6.42,6.73,,,,6.083,5.89,6.124,5.469,4.371,4.999,,,,7.18,7.05,,5.81,5.34,5.695,3.812,3.244,3.503,5.333,6.392,6.009,6.367,6.517,6.551,,,,,,,
2000-02-25,-0.3977411477411477,-0.08796445626510986,0.1588329538921242,0.10164953199324842,0.0037034398121109577,0.10869963369963372,-0.1116651837337615,0.07607221152867587,-0.432504898097727,1.1734466840735094,1.096622337720605,-1.1053925023865887,0.44439958322509804,-0.2630259936675256,-0.49052359610577906,-0.3163396507904127,6.53,6.28,6.56,,,,6.067,5.817,6.069,5.426,4.413,5.106,,,,7.07,6.99,,5.795,5.31,5.67,3.823,3.259,3.492,5.331,6.357,6.006,6.337,6.416,6.473,,,,,,,
